Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.832403	-1.832403
1	0.950747	750	-1.792360	-3.624762
2	0.926679	750	-1.894328	-5.519090
3	0.902980	750	-1.690878	-7.209968
4	0.879648	750	-1.707361	-8.917329
5	0.856682	750	-1.662298	-10.579627
6	0.834079	750	-1.658943	-12.238570
7	0.811838	750	-1.591533	-13.830103
8	0.789957	750	-1.608723	-15.438827
9	0.768433	750	-1.636493	-17.075320
10	0.747266	750	-1.535619	-18.610939
11	0.726452	750	-1.664660	-20.275599
12	0.705989	750	-1.512635	-21.788233
13	0.685877	750	-1.608865	-23.397098
14	0.666112	750	-1.583424	-24.980522
15	0.646693	750	-1.495870	-26.476392
16	0.627618	750	-1.424309	-27.900701
17	0.608884	750	-1.387867	-29.288568
18	0.590490	750	-1.475208	-30.763776
19	0.572433	750	-1.385469	-32.149245
20	0.554712	750	-1.415841	-33.565086
21	0.537324	750	-1.320691	-34.885777
22	0.520268	750	-1.305892	-36.191669
23	0.503540	750	-1.344131	-37.535800
24	0.487139	750	-1.324737	-38.860537
25	0.471063	750	-1.298940	-40.159478
26	0.455310	750	-1.210389	-41.369867
27	0.439877	750	-1.233981	-42.603847
28	0.424762	750	-1.218424	-43.822271
29	0.409963	750	-1.192310	-45.014581
30	0.395478	750	-1.118033	-46.132614
31	0.381305	750	-1.141704	-47.274318
32	0.367440	750	-1.126609	-48.400928
33	0.353883	750	-1.105988	-49.506916
34	0.340630	750	-1.058771	-50.565687
35	0.327680	750	-1.056251	-51.621938
36	0.315030	750	-1.000922	-52.622860
37	0.302677	750	-1.009098	-53.631958
38	0.290619	750	-0.962723	-54.594681
39	0.278855	750	-0.967191	-55.561872
40	0.267381	750	-0.940999	-56.502871
41	0.256195	750	-0.919818	-57.422689
42	0.245294	750	-0.904799	-58.327488
43	0.234677	750	-0.872696	-59.200184
44	0.224340	750	-0.851741	-60.051925
45	0.214281	750	-0.826168	-60.878093
46	0.204498	750	-0.810009	-61.688103
47	0.194988	750	-0.779913	-62.468015
48	0.185749	750	-0.765654	-63.233669
49	0.176777	750	-0.740774	-63.974442
50	0.168070	750	-0.725556	-64.699999
51	0.159626	750	-0.715317	-65.415316
52	0.151441	750	-0.681399	-66.096715
53	0.143514	750	-0.664337	-66.761052
54	0.135841	750	-0.645229	-67.406281
55	0.128420	750	-0.629156	-68.035437
56	0.121247	750	-0.614241	-68.649679
57	0.114320	750	-0.588442	-69.238120
58	0.107637	750	-0.578844	-69.816964
59	0.101193	750	-0.564360	-70.381324
60	0.094986	750	-0.533635	-70.914959
61	0.089014	750	-0.528208	-71.443167
62	0.083273	750	-0.502800	-71.945967
63	0.077760	750	-0.487824	-72.433791
64	0.072472	750	-0.477152	-72.910942
65	0.067406	750	-0.448276	-73.359218
66	0.062558	750	-0.434388	-73.793606
67	0.057926	750	-0.424472	-74.218079
68	0.053506	750	-0.404482	-74.622561
69	0.049295	750	-0.391683	-75.014244
70	0.045289	750	-0.373897	-75.388142
71	0.041485	750	-0.355011	-75.743153
72	0.037880	750	-0.345696	-76.088849
73	0.034469	750	-0.328155	-76.417004
74	0.031250	750	-0.310938	-76.727943
75	0.028218	750	-0.304247	-77.032190
76	0.025370	750	-0.280244	-77.312434
77	0.022702	750	-0.256178	-77.568612
78	0.020209	750	-0.255429	-77.824041
79	0.017889	750	-0.241995	-78.066036
80	0.015736	750	-0.235697	-78.301734
81	0.013746	750	-0.206202	-78.507936
82	0.011916	750	-0.208650	-78.716586
83	0.010240	750	-0.174347	-78.890933
84	0.008714	750	-0.170255	-79.061188
85	0.007334	750	-0.159908	-79.221096
86	0.006093	750	-0.154098	-79.375194
87	0.004988	750	-0.123007	-79.498202
88	0.004013	750	-0.114506	-79.612708
89	0.003162	750	-0.098928	-79.711635
90	0.002430	750	-0.087398	-79.799033
91	0.001810	750	-0.078071	-79.877105
92	0.001296	750	-0.059285	-79.936390
93	0.000882	750	-0.049371	-79.985760
94	0.000559	750	-0.038253	-80.024013
95	0.000320	750	-0.030937	-80.054951
96	0.000156	750	-0.020566	-80.075516
97	0.000057	750	-0.011858	-80.087374
98	0.000010	750	-0.006598	-80.093973
99	0.000000	750	-0.001229	-80.095201
Log marginal likelihood:	-80.095201
