Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.733443	-1.733443
1	0.950747	750	-1.708281	-3.441724
2	0.926679	750	-1.690362	-5.132087
3	0.902980	750	-1.659988	-6.792075
4	0.879648	750	-1.633908	-8.425983
5	0.856682	750	-1.604834	-10.030817
6	0.834079	750	-1.586455	-11.617272
7	0.811838	750	-1.556139	-13.173411
8	0.789957	750	-1.532236	-14.705647
9	0.768433	750	-1.510419	-16.216065
10	0.747266	750	-1.485836	-17.701901
11	0.726452	750	-1.461282	-19.163183
12	0.705989	750	-1.446056	-20.609239
13	0.685877	750	-1.410677	-22.019916
14	0.666112	750	-1.386894	-23.406810
15	0.646693	750	-1.367464	-24.774274
16	0.627618	750	-1.345836	-26.120109
17	0.608884	750	-1.322978	-27.443087
18	0.590490	750	-1.297815	-28.740903
19	0.572433	750	-1.272542	-30.013445
20	0.554712	750	-1.253245	-31.266690
21	0.537324	750	-1.227006	-32.493696
22	0.520268	750	-1.210846	-33.704542
23	0.503540	750	-1.185138	-34.889680
24	0.487139	750	-1.163967	-36.053647
25	0.471063	750	-1.134069	-37.187715
26	0.455310	750	-1.114822	-38.302537
27	0.439877	750	-1.094021	-39.396558
28	0.424762	750	-1.073070	-40.469628
29	0.409963	750	-1.056936	-41.526565
30	0.395478	750	-1.033055	-42.559620
31	0.381305	750	-1.009856	-43.569475
32	0.367440	750	-0.984146	-44.553622
33	0.353883	750	-0.967344	-45.520965
34	0.340630	750	-0.954400	-46.475365
35	0.327680	750	-0.926280	-47.401646
36	0.315030	750	-0.902565	-48.304210
37	0.302677	750	-0.888944	-49.193154
38	0.290619	750	-0.869140	-50.062294
39	0.278855	750	-0.843366	-50.905660
40	0.267381	750	-0.832137	-51.737797
41	0.256195	750	-0.810965	-52.548763
42	0.245294	750	-0.800672	-53.349434
43	0.234677	750	-0.773415	-54.122849
44	0.224340	750	-0.758492	-54.881342
45	0.214281	750	-0.729446	-55.610787
46	0.204498	750	-0.721129	-56.331916
47	0.194988	750	-0.704708	-57.036625
48	0.185749	750	-0.687099	-57.723724
49	0.176777	750	-0.671298	-58.395022
50	0.168070	750	-0.646941	-59.041963
51	0.159626	750	-0.627065	-59.669028
52	0.151441	750	-0.616827	-60.285855
53	0.143514	750	-0.592288	-60.878144
54	0.135841	750	-0.582021	-61.460165
55	0.128420	750	-0.557533	-62.017697
56	0.121247	750	-0.551466	-62.569164
57	0.114320	750	-0.518851	-63.088015
58	0.107637	750	-0.515746	-63.603761
59	0.101193	750	-0.502487	-64.106248
60	0.094986	750	-0.488116	-64.594364
61	0.089014	750	-0.466197	-65.060560
62	0.083273	750	-0.455454	-65.516014
63	0.077760	750	-0.441117	-65.957131
64	0.072472	750	-0.422594	-66.379725
65	0.067406	750	-0.394981	-66.774706
66	0.062558	750	-0.392405	-67.167111
67	0.057926	750	-0.374198	-67.541309
68	0.053506	750	-0.372452	-67.913761
69	0.049295	750	-0.354089	-68.267850
70	0.045289	750	-0.349012	-68.616862
71	0.041485	750	-0.339721	-68.956584
72	0.037880	750	-0.312192	-69.268776
73	0.034469	750	-0.316584	-69.585360
74	0.031250	750	-0.290145	-69.875505
75	0.028218	750	-0.262351	-70.137855
76	0.025370	750	-0.247342	-70.385198
77	0.022702	750	-0.241955	-70.627153
78	0.020209	750	-0.240501	-70.867654
79	0.017889	750	-0.234378	-71.102032
80	0.015736	750	-0.211362	-71.313394
81	0.013746	750	-0.204120	-71.517514
82	0.011916	750	-0.198107	-71.715621
83	0.010240	750	-0.179037	-71.894659
84	0.008714	750	-0.157220	-72.051879
85	0.007334	750	-0.156609	-72.208487
86	0.006093	750	-0.132796	-72.341283
87	0.004988	750	-0.123114	-72.464397
88	0.004013	750	-0.119588	-72.583985
89	0.003162	750	-0.098449	-72.682434
90	0.002430	750	-0.082982	-72.765416
91	0.001810	750	-0.085202	-72.850618
92	0.001296	750	-0.065675	-72.916293
93	0.000882	750	-0.055001	-72.971295
94	0.000559	750	-0.039914	-73.011208
95	0.000320	750	-0.037494	-73.048702
96	0.000156	750	-0.021683	-73.070385
97	0.000057	750	-0.013841	-73.084226
98	0.000010	750	-0.005607	-73.089833
99	0.000000	750	-0.001441	-73.091275
Log marginal likelihood:	-73.091275
