Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.913634	-2.913634
1	0.950747	750	-2.862931	-5.776565
2	0.926679	750	-2.831690	-8.608255
3	0.902980	750	-2.777272	-11.385527
4	0.879648	750	-2.741711	-14.127238
5	0.856682	750	-2.704598	-16.831836
6	0.834079	750	-2.654860	-19.486696
7	0.811838	750	-2.622702	-22.109398
8	0.789957	750	-2.575285	-24.684684
9	0.768433	750	-2.524848	-27.209532
10	0.747266	750	-2.495017	-29.704548
11	0.726452	750	-2.459604	-32.164152
12	0.705989	750	-2.411179	-34.575332
13	0.685877	750	-2.377402	-36.952733
14	0.666112	750	-2.333230	-39.285964
15	0.646693	750	-2.293798	-41.579761
16	0.627618	750	-2.259215	-43.838977
17	0.608884	750	-2.210613	-46.049589
18	0.590490	750	-2.175302	-48.224892
19	0.572433	750	-2.138397	-50.363289
20	0.554712	750	-2.104712	-52.468001
21	0.537324	750	-2.058156	-54.526157
22	0.520268	750	-2.026146	-56.552303
23	0.503540	750	-1.988302	-58.540604
24	0.487139	750	-1.946884	-60.487488
25	0.471063	750	-1.914448	-62.401936
26	0.455310	750	-1.876017	-64.277953
27	0.439877	750	-1.832630	-66.110582
28	0.424762	750	-1.805714	-67.916296
29	0.409963	750	-1.777940	-69.694236
30	0.395478	750	-1.725920	-71.420156
31	0.381305	750	-1.699857	-73.120013
32	0.367440	750	-1.653631	-74.773644
33	0.353883	750	-1.619450	-76.393094
34	0.340630	750	-1.583818	-77.976911
35	0.327680	750	-1.553330	-79.530241
36	0.315030	750	-1.521665	-81.051907
37	0.302677	750	-1.489448	-82.541354
38	0.290619	750	-1.447428	-83.988782
39	0.278855	750	-1.422132	-85.410914
40	0.267381	750	-1.372452	-86.783366
41	0.256195	750	-1.345326	-88.128693
42	0.245294	750	-1.326621	-89.455313
43	0.234677	750	-1.290474	-90.745787
44	0.224340	750	-1.259742	-92.005530
45	0.214281	750	-1.236081	-93.241610
46	0.204498	750	-1.197458	-94.439068
47	0.194988	750	-1.156507	-95.595576
48	0.185749	750	-1.121354	-96.716929
49	0.176777	750	-1.092896	-97.809825
50	0.168070	750	-1.081498	-98.891324
51	0.159626	750	-1.033897	-99.925221
52	0.151441	750	-1.023956	-100.949177
53	0.143514	750	-0.975298	-101.924475
54	0.135841	750	-0.952703	-102.877178
55	0.128420	750	-0.917932	-103.795110
56	0.121247	750	-0.897990	-104.693100
57	0.114320	750	-0.878732	-105.571831
58	0.107637	750	-0.832570	-106.404402
59	0.101193	750	-0.818595	-107.222996
60	0.094986	750	-0.787919	-108.010915
61	0.089014	750	-0.754605	-108.765520
62	0.083273	750	-0.736958	-109.502477
63	0.077760	750	-0.703248	-110.205725
64	0.072472	750	-0.680753	-110.886479
65	0.067406	750	-0.657905	-111.544384
66	0.062558	750	-0.639417	-112.183801
67	0.057926	750	-0.613945	-112.797746
68	0.053506	750	-0.570900	-113.368646
69	0.049295	750	-0.570462	-113.939108
70	0.045289	750	-0.521675	-114.460782
71	0.041485	750	-0.497933	-114.958716
72	0.037880	750	-0.474150	-115.432866
73	0.034469	750	-0.465703	-115.898569
74	0.031250	750	-0.434024	-116.332592
75	0.028218	750	-0.409401	-116.741994
76	0.025370	750	-0.386854	-117.128848
77	0.022702	750	-0.364454	-117.493302
78	0.020209	750	-0.363440	-117.856742
79	0.017889	750	-0.329697	-118.186439
80	0.015736	750	-0.303610	-118.490049
81	0.013746	750	-0.284849	-118.774898
82	0.011916	750	-0.257997	-119.032895
83	0.010240	750	-0.251913	-119.284808
84	0.008714	750	-0.217548	-119.502356
85	0.007334	750	-0.195392	-119.697748
86	0.006093	750	-0.181493	-119.879241
87	0.004988	750	-0.160360	-120.039601
88	0.004013	750	-0.142871	-120.182473
89	0.003162	750	-0.125584	-120.308057
90	0.002430	750	-0.111141	-120.419199
91	0.001810	750	-0.091404	-120.510603
92	0.001296	750	-0.082933	-120.593536
93	0.000882	750	-0.062071	-120.655607
94	0.000559	750	-0.048559	-120.704166
95	0.000320	750	-0.037689	-120.741855
96	0.000156	750	-0.025212	-120.767067
97	0.000057	750	-0.014521	-120.781588
98	0.000010	750	-0.007556	-120.789145
99	0.000000	750	-0.001440	-120.790585
Log marginal likelihood:	-120.790585
