Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.616426	-2.616426
1	0.950747	750	-2.575839	-5.192266
2	0.926679	750	-2.568628	-7.760894
3	0.902980	750	-2.472622	-10.233516
4	0.879648	750	-2.496948	-12.730464
5	0.856682	750	-2.424971	-15.155435
6	0.834079	750	-2.396102	-17.551537
7	0.811838	750	-2.316580	-19.868117
8	0.789957	750	-2.353219	-22.221336
9	0.768433	750	-2.367048	-24.588384
10	0.747266	750	-2.268399	-26.856783
11	0.726452	750	-2.421049	-29.277832
12	0.705989	750	-2.399346	-31.677178
13	0.685877	750	-2.367454	-34.044632
14	0.666112	750	-2.324342	-36.368974
15	0.646693	750	-2.283597	-38.652571
16	0.627618	750	-2.248188	-40.900759
17	0.608884	750	-2.211072	-43.111831
18	0.590490	750	-2.163932	-45.275764
19	0.572433	750	-2.130313	-47.406076
20	0.554712	750	-2.080716	-49.486792
21	0.537324	750	-2.053858	-51.540650
22	0.520268	750	-2.016596	-53.557246
23	0.503540	750	-1.990379	-55.547626
24	0.487139	750	-1.938181	-57.485806
25	0.471063	750	-1.907967	-59.393773
26	0.455310	750	-1.855461	-61.249233
27	0.439877	750	-1.828964	-63.078197
28	0.424762	750	-1.786675	-64.864872
29	0.409963	750	-1.751140	-66.616012
30	0.395478	750	-1.721191	-68.337203
31	0.381305	750	-1.667576	-70.004779
32	0.367440	750	-1.648001	-71.652780
33	0.353883	750	-1.614997	-73.267777
34	0.340630	750	-1.573282	-74.841059
35	0.327680	750	-1.542086	-76.383145
36	0.315030	750	-1.511377	-77.894522
37	0.302677	750	-1.485601	-79.380123
38	0.290619	750	-1.453680	-80.833803
39	0.278855	750	-1.408191	-82.241993
40	0.267381	750	-1.379866	-83.621859
41	0.256195	750	-1.345069	-84.966929
42	0.245294	750	-1.316072	-86.283001
43	0.234677	750	-1.273109	-87.556109
44	0.224340	750	-1.246131	-88.802240
45	0.214281	750	-1.218233	-90.020473
46	0.204498	750	-1.190123	-91.210596
47	0.194988	750	-1.159767	-92.370363
48	0.185749	750	-1.133646	-93.504009
49	0.176777	750	-1.101544	-94.605553
50	0.168070	750	-1.068425	-95.673978
51	0.159626	750	-1.049667	-96.723645
52	0.151441	750	-1.016402	-97.740048
53	0.143514	750	-0.981085	-98.721132
54	0.135841	750	-0.943817	-99.664950
55	0.128420	750	-0.937888	-100.602837
56	0.121247	750	-0.905136	-101.507974
57	0.114320	750	-0.872563	-102.380536
58	0.107637	750	-0.830986	-103.211522
59	0.101193	750	-0.815602	-104.027125
60	0.094986	750	-0.802338	-104.829463
61	0.089014	750	-0.776152	-105.605615
62	0.083273	750	-0.736428	-106.342043
63	0.077760	750	-0.700895	-107.042938
64	0.072472	750	-0.690519	-107.733457
65	0.067406	750	-0.659777	-108.393234
66	0.062558	750	-0.652295	-109.045529
67	0.057926	750	-0.620335	-109.665865
68	0.053506	750	-0.606776	-110.272640
69	0.049295	750	-0.585595	-110.858235
70	0.045289	750	-0.567980	-111.426215
71	0.041485	750	-0.521047	-111.947263
72	0.037880	750	-0.494313	-112.441575
73	0.034469	750	-0.506858	-112.948434
74	0.031250	750	-0.488120	-113.436553
75	0.028218	750	-0.427265	-113.863818
76	0.025370	750	-0.427349	-114.291167
77	0.022702	750	-0.407781	-114.698948
78	0.020209	750	-0.368223	-115.067171
79	0.017889	750	-0.363113	-115.430284
80	0.015736	750	-0.345455	-115.775739
81	0.013746	750	-0.305846	-116.081584
82	0.011916	750	-0.296872	-116.378457
83	0.010240	750	-0.275431	-116.653888
84	0.008714	750	-0.248372	-116.902260
85	0.007334	750	-0.238217	-117.140477
86	0.006093	750	-0.207799	-117.348275
87	0.004988	750	-0.207004	-117.555279
88	0.004013	750	-0.190901	-117.746181
89	0.003162	750	-0.151106	-117.897286
90	0.002430	750	-0.148536	-118.045822
91	0.001810	750	-0.130426	-118.176248
92	0.001296	750	-0.104079	-118.280327
93	0.000882	750	-0.081511	-118.361838
94	0.000559	750	-0.060653	-118.422491
95	0.000320	750	-0.045956	-118.468448
96	0.000156	750	-0.033863	-118.502311
97	0.000057	750	-0.019838	-118.522150
98	0.000010	750	-0.009227	-118.531377
99	0.000000	750	-0.002340	-118.533717
Log marginal likelihood:	-118.533717
