Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.170214	-2.170214
1	0.950747	750	-2.144509	-4.314722
2	0.926679	750	-2.104130	-6.418853
3	0.902980	750	-2.074130	-8.492983
4	0.879648	750	-2.038237	-10.531220
5	0.856682	750	-2.013083	-12.544303
6	0.834079	750	-1.981628	-14.525931
7	0.811838	750	-1.955530	-16.481461
8	0.789957	750	-1.915097	-18.396558
9	0.768433	750	-1.893793	-20.290351
10	0.747266	750	-1.862259	-22.152610
11	0.726452	750	-1.834229	-23.986838
12	0.705989	750	-1.794632	-25.781470
13	0.685877	750	-1.768930	-27.550400
14	0.666112	750	-1.738412	-29.288812
15	0.646693	750	-1.707831	-30.996644
16	0.627618	750	-1.686614	-32.683257
17	0.608884	750	-1.656734	-34.339991
18	0.590490	750	-1.632850	-35.972841
19	0.572433	750	-1.599666	-37.572507
20	0.554712	750	-1.561795	-39.134302
21	0.537324	750	-1.543084	-40.677386
22	0.520268	750	-1.517996	-42.195382
23	0.503540	750	-1.482326	-43.677709
24	0.487139	750	-1.461150	-45.138859
25	0.471063	750	-1.431657	-46.570516
26	0.455310	750	-1.409685	-47.980201
27	0.439877	750	-1.377002	-49.357203
28	0.424762	750	-1.352774	-50.709977
29	0.409963	750	-1.322624	-52.032601
30	0.395478	750	-1.296363	-53.328965
31	0.381305	750	-1.269363	-54.598327
32	0.367440	750	-1.244555	-55.842882
33	0.353883	750	-1.224587	-57.067468
34	0.340630	750	-1.181136	-58.248604
35	0.327680	750	-1.156514	-59.405118
36	0.315030	750	-1.132255	-60.537373
37	0.302677	750	-1.122813	-61.660186
38	0.290619	750	-1.101764	-62.761950
39	0.278855	750	-1.066435	-63.828385
40	0.267381	750	-1.038135	-64.866521
41	0.256195	750	-1.019919	-65.886440
42	0.245294	750	-1.000056	-66.886496
43	0.234677	750	-0.976020	-67.862516
44	0.224340	750	-0.935355	-68.797870
45	0.214281	750	-0.922964	-69.720834
46	0.204498	750	-0.900454	-70.621287
47	0.194988	750	-0.866966	-71.488253
48	0.185749	750	-0.863596	-72.351849
49	0.176777	750	-0.827134	-73.178983
50	0.168070	750	-0.808358	-73.987340
51	0.159626	750	-0.794057	-74.781397
52	0.151441	750	-0.761615	-75.543012
53	0.143514	750	-0.731485	-76.274497
54	0.135841	750	-0.718682	-76.993180
55	0.128420	750	-0.697309	-77.690489
56	0.121247	750	-0.672047	-78.362536
57	0.114320	750	-0.661414	-79.023950
58	0.107637	750	-0.633458	-79.657408
59	0.101193	750	-0.604211	-80.261619
60	0.094986	750	-0.601106	-80.862725
61	0.089014	750	-0.585728	-81.448453
62	0.083273	750	-0.552913	-82.001367
63	0.077760	750	-0.560618	-82.561985
64	0.072472	750	-0.519436	-83.081421
65	0.067406	750	-0.505281	-83.586701
66	0.062558	750	-0.497232	-84.083934
67	0.057926	750	-0.461036	-84.544970
68	0.053506	750	-0.446755	-84.991725
69	0.049295	750	-0.417082	-85.408807
70	0.045289	750	-0.404007	-85.812815
71	0.041485	750	-0.384658	-86.197472
72	0.037880	750	-0.362748	-86.560220
73	0.034469	750	-0.357030	-86.917250
74	0.031250	750	-0.346349	-87.263599
75	0.028218	750	-0.331696	-87.595295
76	0.025370	750	-0.298179	-87.893473
77	0.022702	750	-0.281414	-88.174887
78	0.020209	750	-0.262617	-88.437504
79	0.017889	750	-0.250611	-88.688115
80	0.015736	750	-0.233613	-88.921727
81	0.013746	750	-0.215478	-89.137205
82	0.011916	750	-0.198241	-89.335447
83	0.010240	750	-0.174860	-89.510306
84	0.008714	750	-0.168070	-89.678377
85	0.007334	750	-0.157163	-89.835540
86	0.006093	750	-0.140611	-89.976151
87	0.004988	750	-0.124710	-90.100862
88	0.004013	750	-0.111170	-90.212032
89	0.003162	750	-0.098861	-90.310892
90	0.002430	750	-0.081021	-90.391914
91	0.001810	750	-0.073966	-90.465880
92	0.001296	750	-0.056095	-90.521974
93	0.000882	750	-0.044961	-90.566935
94	0.000559	750	-0.039726	-90.606661
95	0.000320	750	-0.027238	-90.633899
96	0.000156	750	-0.018279	-90.652178
97	0.000057	750	-0.011753	-90.663931
98	0.000010	750	-0.006238	-90.670169
99	0.000000	750	-0.001152	-90.671321
Log marginal likelihood:	-90.671321
