Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.988769	-1.988769
1	0.950747	750	-1.952687	-3.941455
2	0.926679	750	-1.925298	-5.866753
3	0.902980	750	-1.898553	-7.765306
4	0.879648	750	-1.870315	-9.635621
5	0.856682	750	-1.839650	-11.475271
6	0.834079	750	-1.811658	-13.286929
7	0.811838	750	-1.785989	-15.072918
8	0.789957	750	-1.754666	-16.827584
9	0.768433	750	-1.735099	-18.562683
10	0.747266	750	-1.698623	-20.261306
11	0.726452	750	-1.675573	-21.936880
12	0.705989	750	-1.647103	-23.583982
13	0.685877	750	-1.629266	-25.213248
14	0.666112	750	-1.599896	-26.813144
15	0.646693	750	-1.570649	-28.383794
16	0.627618	750	-1.543198	-29.926992
17	0.608884	750	-1.519798	-31.446790
18	0.590490	750	-1.487037	-32.933827
19	0.572433	750	-1.469070	-34.402896
20	0.554712	750	-1.432902	-35.835798
21	0.537324	750	-1.408632	-37.244430
22	0.520268	750	-1.385438	-38.629868
23	0.503540	750	-1.365312	-39.995180
24	0.487139	750	-1.333846	-41.329026
25	0.471063	750	-1.314206	-42.643232
26	0.455310	750	-1.292666	-43.935898
27	0.439877	750	-1.250231	-45.186129
28	0.424762	750	-1.227239	-46.413368
29	0.409963	750	-1.210732	-47.624100
30	0.395478	750	-1.180126	-48.804226
31	0.381305	750	-1.156965	-49.961191
32	0.367440	750	-1.131730	-51.092921
33	0.353883	750	-1.113834	-52.206755
34	0.340630	750	-1.085489	-53.292243
35	0.327680	750	-1.063645	-54.355888
36	0.315030	750	-1.037976	-55.393864
37	0.302677	750	-1.019244	-56.413108
38	0.290619	750	-0.992758	-57.405866
39	0.278855	750	-0.975326	-58.381192
40	0.267381	750	-0.954507	-59.335699
41	0.256195	750	-0.929415	-60.265114
42	0.245294	750	-0.908590	-61.173704
43	0.234677	750	-0.895813	-62.069517
44	0.224340	750	-0.871458	-62.940975
45	0.214281	750	-0.839052	-63.780027
46	0.204498	750	-0.829272	-64.609299
47	0.194988	750	-0.805924	-65.415224
48	0.185749	750	-0.782080	-66.197303
49	0.176777	750	-0.760322	-66.957626
50	0.168070	750	-0.742762	-67.700388
51	0.159626	750	-0.712276	-68.412664
52	0.151441	750	-0.693366	-69.106029
53	0.143514	750	-0.687000	-69.793029
54	0.135841	750	-0.660674	-70.453703
55	0.128420	750	-0.635205	-71.088907
56	0.121247	750	-0.619303	-71.708210
57	0.114320	750	-0.600506	-72.308716
58	0.107637	750	-0.591324	-72.900040
59	0.101193	750	-0.566571	-73.466611
60	0.094986	750	-0.544954	-74.011565
61	0.089014	750	-0.529616	-74.541181
62	0.083273	750	-0.522190	-75.063371
63	0.077760	750	-0.510207	-75.573578
64	0.072472	750	-0.475740	-76.049318
65	0.067406	750	-0.446946	-76.496264
66	0.062558	750	-0.438410	-76.934675
67	0.057926	750	-0.440644	-77.375318
68	0.053506	750	-0.404172	-77.779490
69	0.049295	750	-0.385039	-78.164530
70	0.045289	750	-0.362019	-78.526548
71	0.041485	750	-0.349949	-78.876497
72	0.037880	750	-0.351941	-79.228439
73	0.034469	750	-0.329959	-79.558398
74	0.031250	750	-0.302119	-79.860517
75	0.028218	750	-0.297415	-80.157932
76	0.025370	750	-0.289202	-80.447135
77	0.022702	750	-0.264654	-80.711789
78	0.020209	750	-0.253235	-80.965024
79	0.017889	750	-0.226980	-81.192003
80	0.015736	750	-0.226562	-81.418565
81	0.013746	750	-0.206004	-81.624569
82	0.011916	750	-0.207142	-81.831712
83	0.010240	750	-0.176325	-82.008037
84	0.008714	750	-0.165982	-82.174019
85	0.007334	750	-0.155071	-82.329090
86	0.006093	750	-0.136127	-82.465217
87	0.004988	750	-0.130477	-82.595694
88	0.004013	750	-0.107053	-82.702747
89	0.003162	750	-0.092941	-82.795688
90	0.002430	750	-0.076719	-82.872407
91	0.001810	750	-0.066280	-82.938687
92	0.001296	750	-0.066280	-83.004967
93	0.000882	750	-0.043507	-83.048473
94	0.000559	750	-0.035842	-83.084315
95	0.000320	750	-0.029305	-83.113620
96	0.000156	750	-0.019801	-83.133421
97	0.000057	750	-0.011942	-83.145363
98	0.000010	750	-0.005256	-83.150618
99	0.000000	750	-0.001150	-83.151768
Log marginal likelihood:	-83.151768
