Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.175722	-1.175722
1	0.950747	750	-1.162177	-2.337899
2	0.926679	750	-1.143771	-3.481670
3	0.902980	750	-1.126358	-4.608028
4	0.879648	750	-1.104600	-5.712627
5	0.856682	750	-1.091316	-6.803943
6	0.834079	750	-1.076251	-7.880194
7	0.811838	750	-1.057070	-8.937264
8	0.789957	750	-1.039076	-9.976340
9	0.768433	750	-1.023875	-11.000215
10	0.747266	750	-1.006692	-12.006907
11	0.726452	750	-0.992890	-12.999797
12	0.705989	750	-0.978495	-13.978292
13	0.685877	750	-0.958970	-14.937262
14	0.666112	750	-0.949284	-15.886545
15	0.646693	750	-0.929070	-16.815615
16	0.627618	750	-0.913115	-17.728729
17	0.608884	750	-0.893598	-18.622327
18	0.590490	750	-0.881614	-19.503941
19	0.572433	750	-0.867922	-20.371863
20	0.554712	750	-0.850943	-21.222805
21	0.537324	750	-0.838037	-22.060842
22	0.520268	750	-0.817667	-22.878509
23	0.503540	750	-0.802479	-23.680988
24	0.487139	750	-0.791164	-24.472152
25	0.471063	750	-0.779720	-25.251872
26	0.455310	750	-0.767765	-26.019637
27	0.439877	750	-0.745521	-26.765158
28	0.424762	750	-0.728938	-27.494096
29	0.409963	750	-0.722870	-28.216966
30	0.395478	750	-0.703925	-28.920891
31	0.381305	750	-0.696225	-29.617116
32	0.367440	750	-0.677239	-30.294354
33	0.353883	750	-0.664147	-30.958501
34	0.340630	750	-0.655056	-31.613557
35	0.327680	750	-0.625227	-32.238784
36	0.315030	750	-0.625085	-32.863870
37	0.302677	750	-0.602555	-33.466425
38	0.290619	750	-0.594525	-34.060950
39	0.278855	750	-0.579705	-34.640654
40	0.267381	750	-0.568263	-35.208918
41	0.256195	750	-0.557843	-35.766761
42	0.245294	750	-0.543194	-36.309955
43	0.234677	750	-0.531377	-36.841331
44	0.224340	750	-0.521330	-37.362661
45	0.214281	750	-0.509805	-37.872467
46	0.204498	750	-0.491610	-38.364077
47	0.194988	750	-0.476181	-38.840257
48	0.185749	750	-0.463950	-39.304207
49	0.176777	750	-0.457095	-39.761302
50	0.168070	750	-0.437926	-40.199228
51	0.159626	750	-0.435285	-40.634513
52	0.151441	750	-0.430098	-41.064611
53	0.143514	750	-0.410894	-41.475505
54	0.135841	750	-0.405304	-41.880810
55	0.128420	750	-0.388528	-42.269337
56	0.121247	750	-0.379175	-42.648512
57	0.114320	750	-0.370797	-43.019309
58	0.107637	750	-0.364033	-43.383343
59	0.101193	750	-0.348131	-43.731474
60	0.094986	750	-0.346409	-44.077884
61	0.089014	750	-0.330578	-44.408462
62	0.083273	750	-0.322740	-44.731202
63	0.077760	750	-0.303745	-45.034947
64	0.072472	750	-0.287766	-45.322713
65	0.067406	750	-0.292933	-45.615647
66	0.062558	750	-0.269101	-45.884748
67	0.057926	750	-0.259928	-46.144676
68	0.053506	750	-0.254491	-46.399166
69	0.049295	750	-0.234885	-46.634051
70	0.045289	750	-0.229375	-46.863426
71	0.041485	750	-0.222187	-47.085613
72	0.037880	750	-0.208491	-47.294104
73	0.034469	750	-0.201689	-47.495793
74	0.031250	750	-0.204570	-47.700363
75	0.028218	750	-0.186490	-47.886853
76	0.025370	750	-0.168837	-48.055689
77	0.022702	750	-0.174473	-48.230162
78	0.020209	750	-0.163599	-48.393761
79	0.017889	750	-0.160813	-48.554574
80	0.015736	750	-0.155127	-48.709701
81	0.013746	750	-0.150293	-48.859994
82	0.011916	750	-0.124204	-48.984198
83	0.010240	750	-0.110840	-49.095038
84	0.008714	750	-0.102715	-49.197753
85	0.007334	750	-0.095100	-49.292854
86	0.006093	750	-0.086213	-49.379067
87	0.004988	750	-0.075809	-49.454876
88	0.004013	750	-0.066324	-49.521200
89	0.003162	750	-0.058808	-49.580008
90	0.002430	750	-0.051670	-49.631678
91	0.001810	750	-0.047659	-49.679337
92	0.001296	750	-0.037857	-49.717194
93	0.000882	750	-0.030368	-49.747562
94	0.000559	750	-0.025039	-49.772601
95	0.000320	750	-0.018816	-49.791418
96	0.000156	750	-0.012005	-49.803423
97	0.000057	750	-0.006841	-49.810264
98	0.000010	750	-0.003314	-49.813578
99	0.000000	750	-0.000701	-49.814279
Log marginal likelihood:	-49.814279
