Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.803906	-1.803906
1	0.950747	750	-1.786920	-3.590826
2	0.926679	750	-1.747813	-5.338639
3	0.902980	750	-1.734632	-7.073272
4	0.879648	750	-1.697983	-8.771255
5	0.856682	750	-1.676562	-10.447817
6	0.834079	750	-1.640235	-12.088052
7	0.811838	750	-1.619931	-13.707983
8	0.789957	750	-1.596853	-15.304836
9	0.768433	750	-1.577479	-16.882315
10	0.747266	750	-1.543612	-18.425927
11	0.726452	750	-1.521243	-19.947170
12	0.705989	750	-1.492141	-21.439311
13	0.685877	750	-1.468609	-22.907920
14	0.666112	750	-1.447153	-24.355073
15	0.646693	750	-1.435774	-25.790847
16	0.627618	750	-1.408321	-27.199168
17	0.608884	750	-1.381753	-28.580921
18	0.590490	750	-1.353136	-29.934057
19	0.572433	750	-1.322751	-31.256808
20	0.554712	750	-1.307310	-32.564118
21	0.537324	750	-1.280317	-33.844435
22	0.520268	750	-1.256355	-35.100791
23	0.503540	750	-1.237013	-36.337804
24	0.487139	750	-1.216212	-37.554016
25	0.471063	750	-1.198403	-38.752420
26	0.455310	750	-1.164945	-39.917365
27	0.439877	750	-1.141042	-41.058407
28	0.424762	750	-1.134726	-42.193133
29	0.409963	750	-1.103281	-43.296415
30	0.395478	750	-1.072892	-44.369306
31	0.381305	750	-1.062115	-45.431422
32	0.367440	750	-1.030737	-46.462158
33	0.353883	750	-1.021467	-47.483626
34	0.340630	750	-0.987653	-48.471278
35	0.327680	750	-0.962090	-49.433369
36	0.315030	750	-0.953071	-50.386439
37	0.302677	750	-0.932704	-51.319143
38	0.290619	750	-0.905689	-52.224832
39	0.278855	750	-0.898413	-53.123245
40	0.267381	750	-0.874759	-53.998004
41	0.256195	750	-0.847011	-54.845015
42	0.245294	750	-0.835361	-55.680376
43	0.234677	750	-0.802666	-56.483042
44	0.224340	750	-0.796385	-57.279426
45	0.214281	750	-0.766429	-58.045855
46	0.204498	750	-0.759603	-58.805458
47	0.194988	750	-0.730671	-59.536129
48	0.185749	750	-0.723614	-60.259743
49	0.176777	750	-0.704123	-60.963866
50	0.168070	750	-0.684720	-61.648585
51	0.159626	750	-0.663975	-62.312560
52	0.151441	750	-0.634612	-62.947173
53	0.143514	750	-0.619038	-63.566211
54	0.135841	750	-0.609562	-64.175773
55	0.128420	750	-0.598932	-64.774705
56	0.121247	750	-0.585071	-65.359776
57	0.114320	750	-0.565383	-65.925158
58	0.107637	750	-0.561457	-66.486615
59	0.101193	750	-0.521853	-67.008469
60	0.094986	750	-0.510749	-67.519217
61	0.089014	750	-0.491303	-68.010520
62	0.083273	750	-0.476249	-68.486769
63	0.077760	750	-0.462635	-68.949404
64	0.072472	750	-0.443535	-69.392938
65	0.067406	750	-0.439026	-69.831965
66	0.062558	750	-0.401423	-70.233388
67	0.057926	750	-0.398722	-70.632109
68	0.053506	750	-0.392651	-71.024761
69	0.049295	750	-0.378658	-71.403419
70	0.045289	750	-0.356084	-71.759503
71	0.041485	750	-0.348238	-72.107741
72	0.037880	750	-0.323999	-72.431741
73	0.034469	750	-0.324153	-72.755894
74	0.031250	750	-0.305362	-73.061256
75	0.028218	750	-0.283516	-73.344772
76	0.025370	750	-0.260951	-73.605723
77	0.022702	750	-0.267965	-73.873688
78	0.020209	750	-0.265392	-74.139080
79	0.017889	750	-0.237522	-74.376602
80	0.015736	750	-0.228888	-74.605490
81	0.013746	750	-0.201023	-74.806512
82	0.011916	750	-0.194305	-75.000817
83	0.010240	750	-0.186167	-75.186984
84	0.008714	750	-0.166744	-75.353728
85	0.007334	750	-0.154757	-75.508485
86	0.006093	750	-0.116262	-75.624747
87	0.004988	750	-0.135907	-75.760655
88	0.004013	750	-0.116646	-75.877300
89	0.003162	750	-0.107188	-75.984488
90	0.002430	750	-0.090050	-76.074538
91	0.001810	750	-0.075976	-76.150514
92	0.001296	750	-0.065177	-76.215691
93	0.000882	750	-0.053023	-76.268713
94	0.000559	750	-0.038436	-76.307149
95	0.000320	750	-0.028661	-76.335810
96	0.000156	750	-0.020493	-76.356303
97	0.000057	750	-0.012574	-76.368877
98	0.000010	750	-0.005677	-76.374554
99	0.000000	750	-0.001067	-76.375622
Log marginal likelihood:	-76.375622
